objectType,pkOntome,identifierInNamespace,originalURI
class,393,A6,A6_Group_Declaration_Event
property,1095,AP5,AP5_removed_part_or_all_of
property,1100,AP10,AP10_destroyed
property,1098,AP8,AP8_disturbed
property,1105,AP16,AP16_assigned_attribute_to
property,1106,AP17,AP17_is_found_by
property,1092,AP2,AP2_discarded_into
property,1102,AP12,AP12_confines
property,1094,AP4,AP4_produced_surface
class,389,A2,A2_Stratigraphic_Volume_Unit
property,1091,AP1,AP1_produced
class,395,A8,A8_Stratigraphic_Unit
property,1108,AP19,AP19_is_embedding_in
property,1097,AP7,AP7_produced
property,1093,AP3,AP3_excavated
property,1101,AP11,AP11_has_physical_relation
class,390,A3,A3_Stratigraphic_Interface
property,1104,AP15,AP15_is_or_contains_remains_of
property,1096,AP6,AP6_intended_to_approximate
class,394,A7,A7_Embedding
class,396,A9,A9_Archaeological_Excavation
class,392,A5,A5_Stratigraphic_Modification
class,388,A1,A1_Excavation_Process_Unit
property,1107,AP18,AP18_is_embedding_of
class,391,A4,A4_Stratigraphic_Genesis
property,1103,AP13,AP13_has_stratigraphic_relation
property,1109,AP20,AP20_is_embedding_at
property,1099,AP9,AP9_took_matter_from
property,1049,Q4,Q4_has_spatial_projection
property,1054,Q8,Q8_is_fixed_on
property,1048,Q3,Q3_has_temporal_projection
class,345,SP1,SP1_Phenomenal_Spacetime_Volume
property,1061,Q15,Q15_is_expressed_in_terms_of
property,1047,Q2,Q2_occupied
property,1059,Q13,Q13_approximates
class,351,SP7,SP7_Declarative_Spacetime_Volume
property,1055,Q9,Q9_is_expressed_in_terms_of
class,347,SP3,SP3_Reference_Space
property,1062,Q16,Q16_defines_spacetime_volume
property,1052,Q6,Q6_is_at_rest_in_relation_to
class,354,SP12,SP12_Spacetime_Volume_Expression
class,348,SP4,SP4_Spatial_Coordinate_Reference_System
class,346,SP2,SP2_Phenomenal_Place
property,1046,Q1,Q1_occupied
property,1058,Q12,Q12_approximates
class,356,SP14,SP14_Time_Expression
class,357,SP15,SP15_Geometry
class,349,SP5,SP5_Geometric_Place_Expression
property,1063,Q17,Q17_is_expressed_in_terms_of
property,1065,Q19,Q19_has_reference_event
property,1056,Q10,Q10_defines_place
property,1064,Q18,Q18_is_expressed_in_terms_of
property,1050,Q5,Q5_defined_in
class,352,SP10,SP10_Declarative_Time-Span
property,1057,Q11,Q11_approximates
property,1060,Q14,Q14_defines_time
property,1053,Q7,Q7_describes
class,355,SP13,SP13_Phenomenal_Time-Span
class,350,SP6,SP6_Declarative_Place
class,353,SP11,SP11_Temporal_Reference_System
property,1792,isEmpty,isEmpty
property,1789,dimension,dimension
property,1790,coordinateDimension,coordinateDimension
class,361,Geometry,Geometry
class,360,Feature,Feature
property,1794,hasSerialization,hasSerialization
property,1787,hasGeometry,hasGeometry
property,1045,asWKT,asWKT
property,1791,spatialDimension,spatialDimension
property,1795,asGML,asGML
class,362,SpatialObject,SpatialObject
property,1793,isSimple,isSimple
class,951,E96,E96_Purchase
class,65,E71,E71_Human-Made_Thing
property,46,P50,P50_has_current_keeper
class,41,E42,E42_Identifier
property,98,P110,P110_augmented
property,114,P126,P126_employed
class,32,E33,E33_E41_Linguistic_Appellation
class,32,E33,E33_E41_Linguistic_Appellation
class,19,E19,E19_Physical_Object
class,5,E5,E5_Event
property,134,P146,P146_separated_from
class,26,E27,E27_Site
class,11,E11,E11_Modification
class,24,E25,E25_Human-Made_Feature
property,72,P82,P82_at_some_time_within
class,81,E89,E89_Propositional_Object
property,92,P104,P104_is_subject_to
property,37,P40,P40_observed_dimension
property,111,P123,P123_resulted_in
property,149,P168,P168_place_is_defined_by
class,25,E26,E26_Physical_Feature
property,1903,P175,P175_starts_before_or_with_the_start_of
property,1901,P173,P173_starts_before_or_with_the_end_of
class,8,E8,E8_Acquisition
class,60,E66,E66_Formation
property,62,P71,P71_lists
property,151,P81b,P81b_begin_of_the_end
property,78,P90,P90_has_value
class,10,E10,E10_Transfer_of_Custody
property,91,P103,P103_was_intended_for
property,55,P59,P59_has_section
property,3,P3,P3_has_note
property,85,P97,P97_from_father
property,131,P143,P143_joined
class,63,E69,E69_Death
property,94,P106,P106_is_composed_of
class,84,E93,E93_Presence
property,8,P9,P9_consists_of
class,57,E63,E63_Beginning_of_Existence
class,7,E7,E7_Activity
class,35,E36,E36_Visual_Item
property,87,P99,P99_dissolved
property,110,P122,P122_borders_with
property,66,P75,P75_possesses
property,130,P142,P142_used_constituent
property,136,P148,P148_has_component
property,129,P141,P141_assigned
property,1921,P198,P198_holds_or_supports
property,1904,P176,P176_starts_before_the_start_of
property,26,P28,P28_custody_surrendered_by
property,1917,P191,P191_had_duration
class,29,E30,E30_Right
property,121,P133,P133_is_spatiotemporally_separated_from
property,24,P26,P26_moved_to
class,59,E65,E65_Creation
property,146,P165,P165_incorporates
class,14,E14,E14_Condition_Assessment
property,23,P25,P25_moved
property,124,P136,P136_was_based_on
property,69,P79,P79_beginning_is_qualified_by
property,1920,P197,P197_covered_parts_of
class,71,E78,E78_Curated_Holding
class,73,E80,E80_Part_Removal
property,1902,P174,P174_starts_before_the_end_of
property,101,P113,P113_removed
property,128,P140,P140_assigned_attribute_to
property,1914,P188,P188_requires_production_tool
property,16,P17,P17_was_motivated_by
class,79,E86,E86_Leaving
property,116,P128,P128_carries
class,62,E68,E68_Dissolution
property,77,P89,P89_falls_within
class,954,E99,E99_Product_Type
property,81,P93,P93_took_out_of_existence
property,38,P41,P41_classified
property,75,P86,P86_falls_within
property,90,P102,P102_has_title
property,15,P16,P16_used_specific_object
class,16,E16,E16_Measurement
property,122,P134,P134_continued
property,33,P35,P35_has_identified
property,147,P166,P166_was_a_presence_of
class,51,E53,E53_Place
property,141,P156,P156_occupies
class,54,E56,E56_Language
class,27,E28,E28_Conceptual_Object
property,44,P48,P48_has_preferred_identifier
property,12,P13,P13_destroyed
property,153,P82b,P82b_end_of_the_end
class,6,E6,E6_Destruction
property,1899,P171,P171_at_some_place_within
property,70,P80,P80_end_is_qualified_by
class,30,E31,E31_Document
property,126,P138,P138_represents
property,1908,P182,P182_ends_before_or_with_the_start_of
property,1906,P179,P179_had_sales_price
property,89,P101,P101_had_as_general_use
class,38,E39,E39_Actor
property,118,P130,P130_shows_features_of
class,55,E57,E57_Material
property,10,P11,P11_had_participant
property,45,P49,P49_has_former_or_current_keeper
property,4,P4,P4_has_time-span
property,1913,P187,P187_has_production_plan
property,34,P37,P37_assigned
class,74,E81,E81_Transformation
class,64,E70,E70_Thing
property,112,P124,P124_transformed
class,83,E92,E92_Spacetime_Volume
property,1919,P196,P196_defines
property,1905,P177,P177_assigned_property_of_type
property,93,P105,P105_right_held_by
property,27,P29,P29_custody_received_by
property,13,P14,P14_carried_out_by
class,952,E97,E97_Monetary_Amount
property,86,P98,P98_brought_into_life
property,82,P94,P94_has_created
class,17,E17,E17_Type_Assignment
class,28,E29,E29_Design_or_Procedure
property,22,P24,P24_transferred_title_of
property,40,P43,P43_has_dimension
class,1,E1,E1_CRM_Entity
property,144,P161,P161_has_spatial_projection
property,79,P91,P91_has_unit
class,31,E32,E32_Authority_Document
class,56,E58,E58_Measurement_Unit
class,66,E72,E72_Legal_Object
property,57,P65,P65_shows_visual_item
property,53,P57,P57_has_number_of_parts
property,1907,P180,P180_has_currency
class,52,E54,E54_Dimension
property,11,P12,P12_occurred_in_the_presence_of
property,125,P137,P137_exemplifies
class,15,E15,E15_Identifier_Assignment
property,83,P95,P95_has_formed
property,113,P125,P125_used_object_of_type
class,2,E2,E2_Temporal_Entity
property,145,P164,P164_is_temporally_specified_by
property,41,P44,P44_has_condition
class,9,E9,E9_Move
property,127,P139,P139_has_alternative_form
property,49,P53,P53_has_former_or_current_location
property,97,P109,P109_has_current_or_former_curator
property,88,P100,P100_was_death_of
class,72,E79,E79_Part_Addition
class,34,E35,E35_Title
class,18,E18,E18_Physical_Thing
property,9,P10,P10_falls_within
class,36,E37,E37_Mark
property,1911,P185,P185_ends_before_the_end_of
property,35,P38,P38_deassigned
property,47,P51,P51_has_former_or_current_owner
class,70,E77,E77_Persistent_Item
property,71,P81,P81_ongoing_throughout
property,14,P15,P15_was_influenced_by
class,67,E73,E73_Information_Object
class,33,E34,E34_Inscription
property,20,P22,P22_transferred_title_to
property,65,P74,P74_has_current_or_former_residence
property,139,P151,P151_was_formed_from
property,58,P67,P67_refers_to
property,32,P34,P34_concerned
class,68,E74,E74_Group
property,100,P112,P112_diminished
property,1900,P172,P172_contains
class,53,E55,E55_Type
property,140,P152,P152_has_parent
property,152,P82a,P82a_begin_of_the_begin
property,39,P42,P42_assigned
class,13,E13,E13_Attribute_Assignment
property,5,P5,P5_consists_of
property,148,P167,P167_was_within
property,150,P81a,P81a_end_of_the_begin
property,1909,P183,P183_ends_before_the_start_of
property,19,P21,P21_had_general_purpose
property,28,P30,P30_transferred_custody_of
property,7,P8,P8_took_place_on_or_within
property,67,P76,P76_has_contact_point
property,132,P144,P144_joined_with
property,1910,P184,P184_ends_before_or_with_the_end_of
property,135,P147,P147_curated
class,76,E83,E83_Type_Creation
property,1918,P195,P195_was_a_presence_of
property,31,P33,P33_used_specific_technique
property,80,P92,P92_brought_into_existence
property,21,P23,P23_transferred_title_from
class,22,E22,E22_Human-Made_Object
property,1912,P186,P186_produced_thing_of_product_type
property,1915,P189,P189_approximates
property,48,P52,P52_has_current_owner
property,59,P68,P68_foresees_use_of
class,61,E67,E67_Birth
property,1916,P190,P190_has_symbolic_content
class,4,E4,E4_Period
property,60,P69,P69_has_association_with
property,61,P70,P70_documents
property,51,P55,P55_has_current_location
class,58,E64,E64_End_of_Existence
property,17,P19,P19_was_intended_use_of
property,133,P145,P145_separated
class,23,E24,E24_Physical_Human-Made_Thing
class,82,E90,E90_Symbolic_Object
property,42,P45,P45_consists_of
property,95,P107,P107_has_current_or_former_member
property,30,P32,P32_used_general_technique
class,80,E87,E87_Curation_Activity
property,117,P129,P129_is_about
property,63,P72,P72_has_language
